community,month,monthlyav,year,Sani_Q,av_II_Q,FY,desc,actual,max_MGD,max_II_Q
Hingham,Nov,1.59,16-18,0.5,1.09,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Oct,1,16-18,0.5,0.5,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Hingham,Sep,0.7766666666666666,16-18,0.5,0.2766666666666666,FY20,FY20 Actuals,TRUE,1.9166666666666667,1.4166666666666667
Holbrook,Apr,1.1566666666666667,16-18,0.5,0.6566666666666667,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Aug,0.6900000000000001,16-18,0.5,0.19000000000000006,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Dec,0.8966666666666666,16-18,0.5,0.3966666666666666,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Feb,1.1,16-18,0.5,0.6000000000000001,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Jan,0.99,16-18,0.5,0.49,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Jul,0.7233333333333334,16-18,0.5,0.22333333333333338,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Jun,0.7966666666666666,16-18,0.5,0.29666666666666663,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Mar,1.1533333333333333,16-18,0.5,0.6533333333333333,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,May,0.9099999999999999,16-18,0.5,0.4099999999999999,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Nov,0.9866666666666667,16-18,0.5,0.4866666666666667,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Oct,0.78,16-18,0.5,0.28,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Holbrook,Sep,0.67,16-18,0.5,0.17000000000000004,FY20,FY20 Actuals,TRUE,1.1566666666666667,0.6566666666666667
Lexington,Apr,7.856666666666667,16-18,2.166666666666667,5.69,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Aug,3.0133333333333336,16-18,2.166666666666667,0.8466666666666667,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Dec,4.953333333333333,16-18,2.166666666666667,2.786666666666666,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Feb,5.756666666666667,16-18,2.166666666666667,3.59,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Jan,5.26,16-18,2.166666666666667,3.093333333333333,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Jul,3.63,16-18,2.166666666666667,1.463333333333333,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Jun,4.153333333333333,16-18,2.166666666666667,1.9866666666666664,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
Lexington,Mar,6.776666666666666,16-18,2.166666666666667,4.609999999999999,FY20,FY20 Actuals,TRUE,7.856666666666667,5.69
